FEA Run,Global Fitness
1,1772.5847597646211
2,95.68847026039035
3,0.4856897088462536
4,0.06531189897524883
5,0.015593521056887466
6,0.008642144515490165
7,0.004391992587635041
8,0.0025627420685023997
9,0.001427467226612926
10,0.0007967580914308061
11,0.00048303998049765474
12,0.00028651838715203475
13,0.00016557256026701532
14,9.947297465513798e-05
15,5.859397348786996e-05
16,3.7224945220096104e-05
17,2.16399617194537e-05
18,1.2504675068016933e-05
19,7.186104159162422e-06
20,4.346248475200234e-06
21,2.5367936316944437e-06
22,1.5324970148256165e-06
23,9.193884165632205e-07
24,5.246250175479933e-07
25,3.126225531830839e-07
26,1.83987895036687e-07
27,1.0825237519941925e-07
28,6.089370292658017e-08
29,3.6663589600830276e-08
30,2.0689647870651063e-08
31,1.2249623587525443e-08
32,7.194413664703539e-09
33,4.624831359043436e-09
34,2.7831815697937446e-09
35,1.5790102688008328e-09
36,9.261054012847544e-10
37,5.734306777032471e-10
38,3.2769188748572484e-10
39,1.882726448839123e-10
40,1.110911571582895e-10
41,6.679793470253719e-11
42,4.0533121692090586e-11
43,2.6011643950069225e-11
44,1.5312643194135878e-11
45,8.62010735088346e-12
46,5.1529508666429194e-12
47,3.150750834798174e-12
48,1.83803209240287e-12
49,1.1032454491261564e-12
50,6.576886596697738e-13
