FEA Run,Global Fitness
1,1.0082595181488536e-05
2,5.426255002917861e-08
3,2.0493182912559058e-11
4,3.2290373463354144e-12
5,1.5515848417453056e-18
6,1.4955617779836924e-19
7,8.401439648431618e-21
8,8.400500950764954e-21
9,8.080430278594704e-24
10,2.4461651612986237e-24
11,7.369296812344112e-26
12,1.689631018684934e-28
13,6.365197135102705e-29
14,5.3811560092950856e-33
15,5.381127231590016e-33
16,5.6074818240358156e-34
17,2.1604107710228932e-34
18,1.349788394472699e-36
19,4.0293169877921655e-40
20,3.984912730958793e-40
21,3.541623360793718e-40
22,2.7352535424719543e-41
23,3.294501297785529e-45
24,2.5073815507936466e-45
25,2.8848650628884e-47
26,2.8418892757037536e-47
27,2.8401452737782624e-47
28,2.840143977219615e-47
29,2.6050958938776817e-49
30,6.42816106337574e-52
31,3.218698959970883e-54
32,2.1070121400720925e-54
33,1.9417079211292205e-54
34,1.0287296217535226e-54
35,1.0256774039000906e-54
36,9.648280679015314e-57
37,9.64571845225114e-57
38,2.5168908007034796e-61
39,2.5168907995961666e-61
40,4.854374059869021e-63
41,1.9844583135186374e-63
42,1.3953403374912622e-63
43,1.1759114191110383e-63
44,8.363656149123892e-65
45,8.176716980966307e-65
46,4.72567970271274e-66
47,1.9452831706871465e-68
48,1.865564784508419e-68
49,1.4677079411966655e-68
50,1.2632802265751074e-68
