FEA Run,Global Fitness
1,8662.86868376002
2,5463.612082867851
3,0.2289715029766592
4,0.05602416608987855
5,0.003169441027209933
6,0.001102446482284204
7,0.00010707563807610251
8,3.1391177310180035e-06
9,2.7275622041723563e-07
10,2.689246726734971e-07
11,5.738933803966841e-09
12,3.044645722389533e-11
13,1.4525196284247587e-11
14,1.456350997652215e-13
15,1.3115978371692072e-13
16,4.216743512124246e-15
17,7.133087536811243e-16
18,6.617576040380153e-17
19,5.280483743462444e-17
20,6.95653526814255e-18
21,1.308663755995796e-19
22,1.6497869822910746e-20
23,1.7377340460402874e-21
24,1.1151244974328855e-21
25,5.817767641313951e-22
26,1.7143443347944112e-23
27,2.601209078752716e-24
28,1.144387696214412e-24
29,1.4127532457899426e-25
30,4.7040416727814426e-26
31,9.441333832717951e-27
32,4.223216159907263e-27
33,1.5506047168250513e-28
34,9.195159926482419e-29
35,9.121204216617949e-30
36,9.121204216617949e-30
37,9.121204216617949e-30
38,9.071900410041636e-30
39,9.071900410041636e-30
40,9.071900410041636e-30
41,9.071900410041636e-30
42,9.071900410041636e-30
43,9.071900410041636e-30
44,9.071900410041636e-30
45,9.071900410041636e-30
46,9.071900410041636e-30
47,9.071900410041636e-30
48,9.071900410041636e-30
49,9.071900410041636e-30
50,9.071900410041636e-30
