FEA Run,Global Fitness
1,30840.075569627614
2,3627.8869786927944
3,71.94540440729779
4,7.498870733302118
5,2.034483512119282
6,0.12032307090337868
7,0.0016775639649009879
8,0.00010212929286639028
9,2.5056866553131208e-05
10,5.82762458873815e-06
11,3.492527601689918e-07
12,7.046850898165046e-08
13,7.42726171681757e-09
14,7.959188958022544e-10
15,4.441018563504187e-10
16,2.1319441779030583e-10
17,6.135069287354306e-11
18,2.111994397454769e-12
19,4.568020413853265e-13
20,1.3702412269670048e-13
21,7.257029126852154e-14
22,5.212193736285437e-15
23,3.80906878098929e-16
24,1.2951630274557926e-16
25,3.9539342723715004e-17
26,1.3625012134894019e-18
27,3.043795284283681e-19
28,2.3533654267810115e-19
29,1.1549895688679593e-19
30,3.2225288155743777e-20
31,6.459580917787586e-21
32,9.790822894595677e-22
33,6.970002204252292e-22
34,1.70871970945505e-22
35,2.225316177022373e-23
36,5.5005043375080035e-24
37,3.9477229808821244e-24
38,1.928414757631069e-24
39,8.627091327871453e-26
40,4.820275396785101e-26
41,1.210862046468992e-26
42,1.0311619974499744e-26
43,4.685069568010877e-27
44,1.7818642215712486e-27
45,3.6240763023919045e-28
46,1.2089293372512006e-28
47,4.390503975620694e-29
48,3.019858152799186e-29
49,3.944304526105059e-31
50,2.2186712959340957e-31
