FEA Run,Global Fitness
1,1.4276051086760986
2,0.03259546405337085
3,0.001303120852819175
4,0.00023148452693904026
5,1.647679332819855e-06
6,6.570367940321659e-07
7,2.401659671510549e-08
8,1.2409845971470175e-09
9,1.8939214925505096e-10
10,6.913894734929593e-11
11,9.963175246247156e-12
12,7.084018853071652e-14
13,2.872670244252162e-14
14,4.239180718488732e-15
15,2.721790108704769e-16
16,9.250621960519301e-18
17,5.123427776982437e-18
18,1.3530325804865483e-18
19,1.2059302761337977e-19
20,9.462253928584332e-21
21,2.311083568861305e-21
22,7.104321008351099e-22
23,9.678998762480522e-23
24,2.225018700901939e-23
25,4.670361528442469e-24
26,7.447551118673776e-25
27,4.235587001262168e-25
28,2.455208632814531e-25
29,2.117005412898481e-25
30,1.6705025680523058e-25
31,1.482942104528695e-26
32,1.4364521615049028e-27
33,1.2859313343328454e-27
34,1.1171287657533202e-27
35,6.599253567424714e-30
36,3.425726189674631e-30
37,2.0403228448797263e-30
38,9.857504236115639e-32
39,5.608655574062097e-32
40,2.888142179161984e-33
41,1.4339152072585438e-33
42,8.875184293563269e-34
43,8.262394652607397e-34
44,6.43042994211948e-35
45,5.910762468782646e-36
46,4.0990640093033553e-36
47,6.623740694112441e-37
48,3.1223400170239547e-37
49,1.5050376233468056e-37
50,1.266677528398364e-38
