FEA Run,Global Fitness
1,0.0894515470618604
2,0.00032681336905765246
3,0.00022289367736830196
4,3.9589388668243635e-06
5,9.3174788465128e-08
6,2.980716971018146e-09
7,1.1525869084234656e-09
8,6.467498982874641e-10
9,6.989511116799959e-12
10,1.9188355811566278e-13
11,4.982032160939339e-14
12,6.1865153758718185e-15
13,1.8913157736870804e-15
14,1.341896864018949e-16
15,3.4687379394313595e-17
16,2.7106440689184298e-17
17,4.905189129340985e-19
18,1.6370230904354299e-19
19,8.3162005152679e-20
20,1.6161230266221602e-21
21,1.6149558796779455e-22
22,1.614895186142942e-22
23,1.1775820024317143e-23
24,9.908534202917055e-24
25,4.5460533735079e-25
26,1.0119232449450454e-25
27,2.4612197760634296e-26
28,1.4870792657712202e-26
29,2.8153222940250955e-27
30,1.5826536780374567e-27
31,3.4925313464323053e-29
32,1.7325535656531693e-29
33,2.117657295189575e-30
34,1.6040007926919046e-30
35,1.4333027997670925e-30
36,7.047924550141956e-32
37,3.6762507193063083e-32
38,1.498454123776956e-32
39,1.2991965654434935e-33
40,6.560362972253546e-34
41,1.8845497139272875e-34
42,1.5870509854848786e-34
43,6.245028189157234e-36
44,3.768386065001089e-36
45,1.8413587369142744e-36
46,3.142086852283411e-37
47,7.974534366074659e-38
48,2.942970027059266e-39
49,1.7580746462770392e-39
50,1.2843412619833738e-39
