FEA Run,Global Fitness
1,1.0578157266811774
2,0.054266379310411596
3,0.001109831815629736
4,1.246303257179944e-05
5,1.0300658481437081e-06
6,6.843759050164161e-08
7,4.163477150013893e-09
8,1.2597186529507725e-09
9,4.565097020252832e-11
10,2.3383877011321795e-11
11,4.5465590931246305e-12
12,8.149260166081428e-14
13,6.545049853453496e-14
14,3.496478166506809e-14
15,9.904426596698129e-16
16,2.631459410978512e-16
17,5.450219560161128e-17
18,3.3366417832039702e-18
19,1.5646642526772204e-19
20,8.093555630923809e-20
21,7.066985697713329e-20
22,1.5332031166823505e-21
23,1.6234920235030055e-22
24,7.300313823269423e-23
25,1.2777486485559023e-23
26,5.0209645852201e-24
27,1.1052154042085322e-24
28,6.152696994435263e-25
29,2.9496044867128837e-25
30,4.0732639278743893e-26
31,2.196051888096419e-26
32,1.0424027627372816e-27
33,5.417184044573445e-28
34,1.340934113339944e-28
35,4.898068322356064e-29
36,3.2300372848799675e-29
37,5.3351736240883614e-30
38,1.8903223747819014e-30
39,6.826421073934562e-31
40,2.6633567315125974e-31
41,8.037532099195366e-32
42,5.452699016295228e-33
43,2.5477583411399106e-33
44,1.19725504100047e-33
45,6.626258819716962e-34
46,1.4553587669700537e-34
47,4.295116123346561e-35
48,2.491212711653079e-35
49,2.3217105956417598e-35
50,3.6465496886073365e-37
