FEA Run,Global Fitness
1,0.6842750748397979
2,0.011082878711944587
3,0.000845628018289519
4,8.123122870787926e-06
5,7.200607183045331e-07
6,4.7557680611324886e-08
7,1.416386995755464e-09
8,6.973701511519302e-10
9,2.320166904791413e-10
10,2.5096544425892425e-11
11,2.848573784032567e-12
12,1.6490638738449717e-13
13,1.2791440544433734e-14
14,5.468553683920951e-16
15,6.134104872555396e-17
16,1.0099849146956195e-17
17,1.6092165483766118e-18
18,3.5028004259045864e-19
19,1.4914021929240307e-19
20,8.680127318359378e-20
21,8.246231130849887e-21
22,3.801814650452329e-21
23,2.8891279664208726e-22
24,6.204613211833937e-23
25,4.131619082762304e-23
26,1.8413414631437357e-24
27,2.6493246556007067e-25
28,1.2234575681149e-25
29,1.0756459925683335e-26
30,7.608216595534443e-27
31,6.488219930427884e-27
32,3.7638349569326935e-28
33,7.039863454967029e-29
34,3.262219082148844e-29
35,1.4204999936458446e-29
36,3.468050008431812e-30
37,1.6871495642844522e-30
38,2.5864017015776547e-31
39,2.4203378718862944e-31
40,2.676960488484966e-32
41,3.395766529274311e-33
42,1.4828952053759661e-33
43,5.590763910350631e-34
44,5.299852971568477e-34
45,9.184932438200485e-35
46,6.512642068275794e-36
47,3.145393432462863e-36
48,8.526188514882179e-37
49,7.188467091700856e-37
50,5.8306610108450715e-37
