FEA Run,Global Fitness
1,5.933850929047285
2,1.2912266798114662
3,0.05920635212469394
4,0.0022234298868046842
5,0.0006791400435237627
6,6.110822732852128e-05
7,3.1458322503841174e-05
8,2.812039206379069e-06
9,2.537538588587296e-06
10,5.1532925882114e-07
11,3.5240442075590295e-07
12,9.43976172784744e-08
13,3.459969422081599e-08
14,1.4935779280023098e-08
15,6.2942153711276205e-09
16,5.523372870186449e-10
17,3.1923308441150766e-10
18,2.513123043001997e-10
19,8.76245742631454e-11
20,3.943201321021661e-11
21,1.7213341862998277e-11
22,1.006883465493047e-11
23,7.915890165577366e-12
24,5.5284665734234295e-12
25,1.1657341758564144e-12
26,5.369038547087257e-13
27,3.7703173916270316e-13
28,2.5979218776228663e-13
29,7.149836278586008e-14
30,3.952393967665557e-14
31,2.886579864025407e-14
32,2.1760371282653068e-14
33,2.1760371282653068e-14
34,2.1760371282653068e-14
35,2.1760371282653068e-14
36,2.1760371282653068e-14
37,2.1760371282653068e-14
38,2.1760371282653068e-14
39,2.1760371282653068e-14
40,2.1760371282653068e-14
41,2.1760371282653068e-14
42,2.1760371282653068e-14
43,2.1760371282653068e-14
44,2.1760371282653068e-14
45,2.1760371282653068e-14
46,2.1760371282653068e-14
47,2.1760371282653068e-14
48,2.1760371282653068e-14
49,2.1760371282653068e-14
50,2.1760371282653068e-14
