FEA Run,Global Fitness
1,0.03099878522881607
2,0.00025160640157125474
3,3.6690178037946213e-06
4,1.4147067685582563e-07
5,9.7332933929358e-09
6,9.148192848776997e-10
7,1.839197818481775e-10
8,3.901750117104339e-12
9,5.412162840601073e-13
10,3.9016397466285046e-14
11,4.143354931439592e-15
12,6.995510702524933e-16
13,9.915295825042717e-17
14,1.922329745845993e-17
15,2.9542400870310934e-18
16,6.94075977786615e-19
17,1.5786645366222708e-19
18,2.9054810045951356e-20
19,4.428896147249248e-21
20,4.037335816268765e-22
21,1.769530300500027e-22
22,4.8636471266683214e-23
23,5.469861442828623e-24
24,2.2051978923513214e-24
25,1.9024893900625772e-25
26,1.6944609353879646e-25
27,1.031420903553602e-26
28,2.3176607809645058e-27
29,3.6259548650610543e-28
30,1.1412892624058789e-28
31,4.5715192266863613e-29
32,1.0503480491287538e-29
33,1.3514056592946546e-30
34,4.388265266823215e-31
35,3.4052951856517786e-31
36,9.963529320806114e-32
37,2.514485075102257e-32
38,1.9110230075900627e-32
39,2.7426691527675417e-33
40,1.818608619476889e-33
41,7.818240029368755e-35
42,2.5643173636997105e-35
43,9.384229138014124e-36
44,2.3366813639271417e-36
45,4.168765499873131e-37
46,2.3906169967599574e-37
47,1.2566497971637555e-37
48,6.607321185979229e-38
49,2.574557045948859e-38
50,4.8280996100763336e-39
