FEA Run,Global Fitness
1,1779.7471230937563
2,28.85904283398789
3,2.303701783161379
4,0.6228499703547333
5,0.08044849922674654
6,0.044832015349484486
7,0.0025796833955574203
8,0.001067520967520433
9,0.00065766837598253
10,0.00018066720486884535
11,4.420572516085816e-05
12,2.9609089600755323e-05
13,1.8423721990051654e-05
14,4.74456857963184e-06
15,1.658945828472946e-06
16,2.4136550898126793e-07
17,3.5303740018701455e-08
18,9.343628133371467e-09
19,2.664691695549733e-09
20,1.5032975196671207e-09
21,5.593744355698677e-10
22,2.6188608496657657e-10
23,3.919044605162779e-11
24,3.749662841083585e-12
25,1.6307135277413822e-12
26,5.631238166302038e-13
27,2.739863405310132e-13
28,6.834895871289153e-14
29,1.2260462535812491e-14
30,3.342853836666756e-15
31,3.919637337133431e-16
32,3.0727256504749857e-17
33,3.83984680091586e-18
34,2.0197284553357853e-18
35,4.3453131186561375e-20
36,1.1070130147762617e-20
37,3.875546343800172e-21
38,2.450484907767798e-21
39,2.558799259827546e-22
40,7.221875541478153e-23
41,4.706299544202859e-23
42,2.257934321643268e-23
43,4.976287785903233e-24
44,2.9180057180543968e-24
45,1.2732056414101501e-24
46,1.0349137589692122e-24
47,5.309661012432316e-25
48,1.7504500378943544e-25
49,2.771775814120536e-26
50,7.538721124295951e-27
