FEA Run,Global Fitness
1,3.512503108388641e-08
2,9.79959741130233e-11
3,2.118224113016961e-13
4,8.912764093686965e-14
5,8.57283011083749e-16
6,2.2887100013227824e-18
7,6.496016401306024e-22
8,6.495997783452105e-22
9,6.298401658167644e-22
10,1.0674615007951755e-26
11,2.8946392007237234e-27
12,2.8946392007207542e-27
13,5.231908845554889e-28
14,5.231908843738004e-28
15,5.549037194173985e-30
16,5.5098427154229576e-30
17,5.5098427154229576e-30
18,5.5098427154229576e-30
19,1.8515172018040176e-35
20,2.9450956782502386e-38
21,2.930780229888121e-38
22,2.9307801370128405e-38
23,2.875155284715462e-38
24,2.866793579820837e-38
25,2.8651655779588967e-38
26,2.865165577594917e-38
27,2.865165519833088e-38
28,2.865165519833088e-38
29,2.8651655198327243e-38
30,2.8651655198327243e-38
31,2.865165515872906e-38
32,2.8651655158697075e-38
33,2.8651655158697075e-38
34,2.8651655158697075e-38
35,2.8651655158697075e-38
36,2.8651655158697075e-38
37,2.8651655158697075e-38
38,2.8651655158697075e-38
39,2.8651655158697075e-38
40,2.8651655158697075e-38
41,2.8651655158697075e-38
42,2.8651655158697075e-38
43,2.8651655158697075e-38
44,2.8651655158697075e-38
45,4.645883128554804e-42
46,4.645883128554759e-42
47,4.645883128554754e-42
48,4.645883128554701e-42
49,4.645883128552327e-42
50,8.039240550830872e-44
