FEA Run,Global Fitness
1,3.291794165294192
2,0.7912728124797468
3,0.05564215377270898
4,6.381480432082753e-05
5,7.3569893146441245e-06
6,1.1311360026411421e-07
7,1.5596256730532332e-08
8,1.1942944411202916e-09
9,2.383160335739376e-11
10,4.661160346586257e-12
11,7.958078640513122e-13
12,2.8421709430404007e-13
13,7.105427357601002e-14
14,1.4210854715202004e-14
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
