FEA Run,Global Fitness
1,12977.42150526686
2,171.87579967692355
3,3.3638312297957103
4,0.19294413328540388
5,0.009392863723506457
6,0.0006461069416158767
7,5.985661828229288e-05
8,1.7073379312550867e-06
9,4.2666095722833723e-07
10,1.4756931750717726e-08
11,9.10501525320211e-09
12,8.33582370238511e-11
13,3.26705451764901e-11
14,5.092649149768353e-12
15,1.3470035082413186e-12
16,1.0702375657310198e-13
17,3.1021101730272926e-14
18,3.0599326266579335e-15
19,3.340918265571589e-16
20,7.345067068511497e-17
21,6.21125131662432e-17
22,3.3060797198829515e-18
23,2.8076392436837202e-18
24,3.2001897754394015e-19
25,2.0781313263494762e-20
26,4.605264850542368e-21
27,1.891470378011347e-21
28,4.63751440573734e-22
29,1.2344792797938608e-22
30,1.6926203479205502e-23
31,3.8113025774847964e-24
32,5.003334514146163e-25
33,7.785110501445121e-26
34,4.339366067439742e-26
35,1.0608601453412167e-26
36,7.636173562539394e-28
37,4.796274303743752e-28
38,1.0097419586828951e-28
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
