FEA Run,Global Fitness
1,7.10843960327654
2,0.034052675472977315
3,0.0005363463077268958
4,5.410447885456637e-06
5,7.328723205293163e-07
6,6.478672469891261e-08
7,1.0209955743861888e-08
8,4.833934721377458e-10
9,4.9571741667965696e-11
10,3.4409454552267875e-12
11,7.806737955125194e-13
12,2.934232110671477e-14
13,3.058889309903653e-15
14,9.690605515566534e-16
15,1.8974366468843183e-16
16,5.692799098372769e-18
17,3.994334169297978e-18
18,1.018002162683023e-18
19,5.843204054524783e-20
20,1.408617641618043e-20
21,1.3151922672567562e-21
22,7.4139087045866615e-22
23,1.4784894552479587e-22
24,5.648021042907694e-24
25,3.0310525693940477e-24
26,8.409621788195142e-25
27,4.170059275373465e-25
28,1.420431977355416e-25
29,3.1093718309423893e-26
30,9.278893263635835e-27
31,1.1162841373599278e-27
32,2.9745279779102616e-28
33,1.9199674719851828e-28
34,4.262946911951237e-29
35,2.1972074426481363e-29
36,8.373399201524728e-31
37,1.6277518395298837e-31
38,7.888536985475276e-32
39,1.0693874736463153e-32
40,3.588959174972519e-33
41,1.8978528861993785e-33
42,4.0636618471592344e-34
43,1.5671331118113878e-34
44,5.949650791169911e-35
45,1.0990824095794556e-35
46,4.500849852577486e-36
47,6.312004279563711e-37
48,2.7849640500481804e-37
49,1.7241499080751437e-37
50,2.792117051950357e-38
