FEA Run,Global Fitness
1,0.08305588969978589
2,0.0005307765785789463
3,5.679633761019559e-06
4,6.002482199836528e-08
5,3.43554887265327e-10
6,1.7115921770979912e-11
7,9.035981645614916e-12
8,4.9772015052659756e-14
9,9.811902351457811e-15
10,6.380135100277807e-16
11,7.955326706179737e-17
12,3.320610236694636e-17
13,5.0191827223916315e-18
14,2.392430958977524e-19
15,7.450468305108421e-20
16,1.7869927955551564e-20
17,3.338227707072507e-21
18,9.395652470529552e-22
19,6.894619504834831e-22
20,4.140324964414364e-23
21,1.794469543162363e-23
22,3.4606644816656e-24
23,3.5283789533523355e-25
24,1.4767664732599918e-26
25,5.1745855831239516e-27
26,1.5378714323572149e-27
27,2.2054605156070064e-28
28,6.349920672940082e-29
29,9.049277443804928e-30
30,3.550232672345965e-30
31,7.1119231369046585e-31
32,6.31901680445216e-32
33,4.045378872056119e-32
34,1.6177595267928584e-32
35,2.9939544121772987e-33
36,2.785278346592334e-34
37,1.3455496829738198e-34
38,4.169794613402768e-35
39,1.0567535159802373e-35
40,6.047509435112856e-36
41,3.3962460101262847e-36
42,1.153637910673211e-36
43,2.1637394620319446e-37
44,5.462193176585522e-38
45,2.1330073207151355e-38
46,1.016380723373116e-38
47,4.140749244864635e-39
48,1.7663311283340446e-40
49,3.7863854159634843e-41
50,1.4654055632704702e-41
