FEA Run,Global Fitness
1,0.4930048895424619
2,0.05488129284531513
3,0.01231003877984827
4,3.4412311796522136e-05
5,9.391281768993305e-07
6,2.648672592508149e-07
7,6.875340919540342e-10
8,5.030175712211647e-11
9,2.2745152704688527e-11
10,6.487637886361277e-12
11,6.273240936748701e-12
12,2.487929220215015e-13
13,5.966011468606665e-14
14,1.305908743270709e-14
15,4.556726021458163e-17
16,4.434955273291819e-17
17,3.904218849404237e-18
18,5.120665812924025e-21
19,3.576404332766764e-21
20,2.944248758442102e-22
21,2.3512186161462902e-23
22,5.662205762101337e-24
23,5.987561566910515e-25
24,2.6468984992030807e-25
25,9.971899782301102e-27
26,3.0918520842881297e-27
27,1.1961262802553127e-27
28,7.8971101034429895e-28
29,4.7226145764565455e-28
30,4.160205929913013e-28
31,1.6350025992870014e-28
32,6.452279670965918e-29
33,8.50119225951394e-31
34,2.772691664287887e-31
35,1.0396265153658152e-31
36,5.092719543429198e-32
37,1.3065659520062906e-32
38,1.03347067178362e-33
39,3.221815775626083e-34
40,2.102874998350452e-34
41,1.5625543721616006e-34
42,1.2544982153178379e-35
43,4.384194150311113e-36
44,1.6832201170301468e-36
45,8.535633961561526e-37
46,7.908822491539519e-37
47,8.517519324016352e-38
48,7.277289809208091e-38
49,1.0602648439952542e-38
50,5.936216797645657e-39
